耀	yao4

涉	she4

谈	tan2

伊	yi1

亟	ji2

洞	dong4

咣	guang1

猢	hu2

悫	que4

缪	miao4 miu4

河	he2

临	lin2

犷	guang3

吸	xi1

娼	chang1

线	xian4

反	fan3

雏	chu2

姑	gu1

硐	dong3 dong4

鳓	le4

卢	lu2

知	zhi1 zhi4

除	chu2

彪	biao1

覆	fu4

辊	gun3

应	ying1 ying4

蠛	mie4

踟	chi2

儡	lei3

崩	beng1

芬	fen1

冶	ye3

钸	bu1

骼	ge2

赉	lai4

湟	huang2

跞	li4

囤	dun4 tun2

峨	e2

括	gua1 kuo4

棰	chui2

豳	bin1

滴	di1

须	xu1

鹿	lu4

沉	chen2

上	shang3 shang4

犍	jian1 qian2

后	hou4

碑	bei1

餐	can1

怖	bu4

蒙	meng1 meng2 meng3

邡	fang1

砦	zhai4

鲩	huan4

枯	ku1

伴	ban4

玷	dian4

逶	wei1

离	li2

羿	yi4

浈	zhen1

壑	he4

罔	wang3

盥	guan4

裱	biao3

号	hao2 hao4

灶	zao4

铹	lao2

姻	yin1

忿	fen4

节	jie1 jie2

厌	yan4

钎	qian1

骒	ke4

茗	ming2

褛	lv3

倡	chang4

熠	yi4

锣	luo2

稽	ji1

拂	bi4 fu2

豉	chi3

克	ke4

坏	huai4

鹕	hu2

几	ji1 ji3

埤	bei1 bi4

巨	ju4

黪	can3

赳	jiu1

篼	dou1

齿	chi3

舀	yao3

萄	tao2

澉	gan3

挖	wa1

嚣	ao2 xiao1

符	fu2

蜮	yu4

炷	zhu4

锺	zhong1

鼾	han1

所	suo3

摄	she4

灌	guan4

柙	xia2

兢	jing1

学	xue2

鹨	liu4

臭	chou4 xiu4

诱	you4

践	jian4

罾	zeng1

昃	ze4

膂	lv3

标	biao1

予	yu2 yu3

越	yue4

琏	lian3

馒	man2

岔	cha4

耗	hao4

匡	kuang1

纨	wan2

洵	xun2

厶	si1

懂	dong3

魑	chi1

秒	miao3

菖	chang1

橛	jue2

江	jiang1

连	lian2

癣	xuan3

廨	xie4

惬	qie4

相	xiang1 xiang4

驻	zhu4

好	hao3 hao4

鱿	you2

撅	jue1

溉	gai4

嘎	ga1 ga2 ga3

窑	yao2

或	huo4

垣	yuan2

钥	yao4 yue4

簪	zan1

斯	si1

澳	ao4

蠲	juan1

夼	kuang3

鸾	luan2

觇	chan1

仉	zhang3

煌	huang2

筐	kuang1

曙	shu3

狡	jia3 jiao3

绩	ji1

胭	yan1

雹	bao2

寻	xin2 xun2

侈	chi3

册	ce4

甏	beng4

缓	huan3

枘	rui4

榜	bang3

负	fu4

疤	ba1

樱	ying1

记	ji4

庾	yu3

蹉	cuo1

泊	bo2

遍	bian4

盎	ang4

当	dang1 dang4

叠	die2

督	du1

郢	ying3

嗤	chi1

祧	tiao1

髦	mao2

荫	yin1 yin4

轳	lu2 lu5

酷	ku4

矸	gan1

舄	xi4

榉	ju3

瞍	sou3

阌	wen2

箕	ji1

挚	zhi4

傣	dai3

眢	yuan1

座	zuo4

笪	da2

梳	shu1

锶	si1

帼	guo2

窿	long2

胃	wei4

案	an4

铋	bi4

癌	ai2

飓	ju4

珥	er3

秩	zhi4

孪	luan2

潲	shao4

诵	song4

峻	jun4

怃	wu3

螂	lang2

谛	di4

溜	liu1 liu4

天	tian1

札	zha2

蚬	xian3

洱	er3

邸	di3

妾	qie4

乇	tuo1

淆	xiao2

呋	fu1

燎	liao2 liao3

晗	han2

汛	xun4

觞	shang1

勤	qin2

葫	hu2

良	liang2

泰	tai4

陷	xian4

兹	ci2 zi1

综	zeng4 zong1

驿	yi4

茄	jia1 qie2

粑	ba1

窕	tiao3

钡	bei4

瘢	ban1

簦	deng1

斫	zhuo2

弼	bi4

臃	yong1

过	guo1 guo4

答	da1 da2

屦	ju4

饨	tun2

婪	lan2

蛭	zhi4

瑶	yao2

牺	xi1

寿	shou4

蚂	ma1 ma3 ma4

誊	teng2

垌	dong4 tong2

礓	jiang1

蜗	wo1

丝	si1

澜	lan2

吡	bi3

疠	li4

鄣	zhang1

昭	zhao1

螬	cao2

亲	qin1 qing4

樵	qiao2

瀹	yue4

降	jiang4 xiang2

协	xie2

绒	rong2

蓖	bi4

古	gu3

姨	yi2

柬	jian3

药	yao4

幽	you1

翼	yi4

极	ji2

耄	mao4

殉	xun4

些	xie1

愚	yu2

劣	lie4

缦	man4

悯	min3

丰	feng1

贲	ben1 bi4

券	quan4 xuan4

嗍	suo1

郏	jia2

忑	te4

髓	sui3

艘	sou1

淝	fei2

燥	zao4

彦	yan4

据	ju1 ju4

煺	tui4

签	qian1

氇	lu5

辆	liang4

和	he2 he4 hu2 huo2 huo4

庐	lu2

折	she2 zhe1 zhe2

窨	xun1 yin4

漱	shu4

猹	cha2

鲼	fen4

宾	bin1

槊	shuo4

齑	ji1

饕	tao1

湛	zhan4

诞	dan4

因	yin1

虫	chong2

狸	li2

顿	du2 dun4

蜀	shu3

锌	xin1

刎	wen3

芙	fu2

供	gong1 gong4

厣	yan3

琢	zhuo2 zuo2

枫	feng1

估	gu1 gu4

殳	shu1

谲	jue2

阶	jie1

杀	sha1

响	xiang3

界	jie4

量	liang2 liang4

廑	jin3 qin2

罐	guan4

壕	hao2

拙	zhuo1

赜	ze2

靠	kao4

酤	gu1

扮	ban4

汲	ji2

嗷	ao2

忻	xin1

姿	zi1

蒂	di4

洇	yin1

看	kan1 kan4

銎	qiong2

徐	xu2

鲒	jie2

蔗	zhe4

掘	jue2

瞠	cheng1

倥	kong1 kong3

娩	mian3 wan3

箨	tuo4

搭	da1

辰	chen2

爹	die1

傺	chi4

媾	gou4

擂	lei1 lei2 lei4

狎	xia2

鹑	chun2

孓	jue2

埠	bu4

铢	zhu1

凤	feng4

寨	zhai4

旬	xun2

乱	luan4

饿	e4

箍	gu1

逐	zhu2

阔	kuo4

岣	gou3

焦	jiao1

溯	su4

贮	zhu4

尸	shi1

炻	shi2

皿	min3

锾	huan2

桀	jie2

俅	qiu2

湄	mei2

苇	wei3

摈	bin4

凑	cou4

埕	cheng2

癔	yi4

淙	cong2

佚	die2 yi4

孢	bao1

翥	zhu4

鹤	he4

语	yu3 yu4

浮	fu2

囿	you4

弥	mi2

纤	qian4 xian1

璨	can4

朵	duo3

蚴	you4

鲸	jing1

喾	ku4

襁	qiang3

毂	gu1 gu3

蕉	jiao1 qiao2

魍	wang3

呓	yi4

觖	jue2

晟	sheng4

哨	shao4

衫	shan1

韪	wei3

蹯	fan2

惰	duo4

葳	wei1

更	geng1 geng4

驷	si4

糸	mi4

狼	lang2

梁	liang2

溅	jian1 jian4

窍	qiao4

划	hua2 hua4 huai5

栖	xi1

渚	zhu3

芝	zhi1

搞	gao3

颡	sang3

钩	gou1

榫	sun3

瘪	bie1 bie3

谮	zen4

鸺	xiu1

瞿	ju4 qu2

鐾	bei4

跃	yue4

仅	jin3 jin4

菇	gu1

效	xiao4

筌	quan2

赘	zhui4

荜	bi4

婢	bi4

绥	sui2

噪	zao4

俯	fu3

胱	guang1

击	ji1

瑾	jin3

侄	zhi2

指	zhi1 zhi2 zhi3

肆	si4

蚊	wen2

完	wan2

缏	bian4

鲎	hou4

堡	bao3 bu3

群	qun2

吩	fen1

爽	shuang3

惆	chou2

奋	fen4

遑	huang2

狒	fei4

陕	shan3

束	shu4

忤	wu3

郦	li4

嗨	hai1 hei1

雪	xue3

软	ruan3

柴	chai2

屹	ge1 yi4

言	yan2

谄	chan3

枉	wang3

玑	ji1

儒	ru2

辙	zhe2

洚	jiang4

膝	xi1

傧	bin1

檫	cha2

常	chang2

值	zhi2

霾	mai2

髋	kuan1

硌	ge4 luo4

鳏	guan1

发	fa1 fa4

篡	cuan4

奢	she1

卦	gua4

矩	ju3

陨	yun3

潮	chao2

菱	ling2

哿	ge3

睾	gao1

程	cheng2

簏	lu4

劐	huo1

醒	xing3

咔	ka1 ka3

伙	huo3

溘	ke4

舛	chuan3

窠	ke1

鸣	ming2

粤	yue4

圩	wei2 xu1

椭	tuo3

侮	wu3

芰	ji4

蒴	shuo4

家	jia1 jia5 jie5

麸	fu1

赅	gai1

揆	kui2

蝉	chan2

屏	bing3

翎	ling2

诖	gua4

付	fu4

扛	gang1 kang2

跚	shan1

嫠	li2

峤	jiao2 jiao4 qiao2

闪	shan3

顷	qing3

役	yi4

绸	chou2

兽	shou4

沅	yuan2

蜈	wu2

碍	ai4

倒	dao3 dao4

锔	ju1 ju2

氚	chuan1

肝	gan1

骡	luo2

鲥	shi2

涯	ya2

踮	dian3 die1

枳	zhi3

玻	bo1

杈	cha1 cha4

獐	zhang1

哕	hui4

惝	chang3

湮	yan1 yin1

英	ying1

究	jiu1

黹	zhi3

叻	le4

都	dou1 du1

百	bai3 bo2

袂	mei4

笋	sun3

喔	wo1

丙	bing3

茛	gen4

蔟	cu4

尥	liao4

亮	liang4

莰	kan3

佃	dian4 tian2

棂	ling2

拆	ca1 chai1

绎	yi4

楗	jian4

俘	fu2

蛞	kuo4

照	zhao4

铪	ha1

饷	xiang3

长	chang2 zhang3

谀	yu2

疑	yi2

缢	yi4

猪	zhu1

耳	er3

纷	fen1

汀	ting1

橄	gan3

蛇	she2 yi2

鳋	sao1

忍	ren3

嗑	ke1 ke4

郓	yun4

柝	tuo4

形	xing2

篥	li4

啦	la1 la5

遨	ao2

迭	die2

楮	chu3

杲	gao3

廷	ting2

勿	wu4

辂	lu4

簋	gui3

咐	fu4 fu5

鞒	qiao2

舟	zhou1

漭	mang3

躬	gong1

芴	wu4

隼	sun3

赁	lin4

濂	lian2

屋	wu1

镑	bang4

跖	zhi2

诚	cheng2

豫	yu4

拴	shuan1

她	ta1

沁	qin4

悉	xi1

锐	rui4

侗	dong4 tong2 tong3

蚝	hao2

鲡	li2

妣	bi3

骥	ji4

垧	shang3

涫	guan4

爪	zhao3 zhua3

夸	kua1

逾	yu2

慈	ci2

哑	ya1

曝	bao4

幢	chuang2 zhuang4

童	tong2

呦	you1

烩	hui4

剪	jian3

空	kong1 kong4

灾	zai1

芊	qian1

後	hou4

笏	hu4

焓	han2

榘	ju4

果	guo3

娥	e2

倩	qian4

熨	yu4 yun4

渭	wei4

薰	xun1

莴	wo1

砹	ai4

豁	hua2 huo1 huo4

嵋	mei2

拊	fu3

盒	he2

敛	lian3

损	sun3

胞	bao1

黢	qu1

寤	wu4

赫	he4

旰	gan4

援	yuan2

秸	jie1

掉	diao4

瞑	ming2

阐	chan3

途	tu2

挞	ta4

索	suo3

馥	fu4

咧	lie1 lie3 lie5

眦	zi4

梯	ti1

吼	hou3

錾	zan4

桄	guang1 guang4

扈	hu4

巍	wei1

毙	bi4

葜	qia1

翡	fei3

坦	tan3

珩	hang2 heng2

敲	qiao1

闽	min3

獾	huan1

膊	bo2

岌	ji2

谗	chan2

纠	jiu1

夥	huo3

朱	zhu1

蚰	you2

肴	yao2

骸	hai2

草	cao3

懊	ao4

痒	yang3

汗	han2 han4

觚	gu1

壤	rang3

韦	wei2

曰	yue1

艳	yan4

惴	zhui4

避	bi4

梅	mei2

抉	jue2

茈	ci2 zi3

皑	ai2

