圙	3
土	10351
圜	1
圐	3
圈	1011
圃	53
圆	1658
圄	11
场	40921
圻	15
圹	2
圾	791
圳	1577
地	98159
圪	34
在	186829
圩	50
圮	4
圭	481
圣	1564
棰	4
棱	87
棵	463
了	171194
争	15895
予	4987
事	43430
棼	1
二	23461
亏	2251
于	54201
云	7004
棡	3
亓	13
互	7624
井	2043
五	19671
棨	1
亘	58
些	26894
亚	20815
森	2972
亡	1930
棒	299
亢	81
亥	193
交	24335
产	61883
亦	808
亩	4528
亨	179
享	2077
亭	583
京	28280
亮	2606
检	8792
亳	23
亲	8500
亵	52
棉	2667
人	174219
棍	221
亿	12753
浒	52
浐	1
酾	1
酵	72
酶	74
酩	4
浅	569
浃	11
酮	16
酥	41
浸	301
浦	892
酊	2
棹	3
棺	49
浣	21
蓁	2
蓄	1241
蓊	21
蓉	169
蓍	6
蓓	46
蓑	7
蓖	7
蓟	18
蓝	1380
棠	153
蓦	39
蓥	4
蓫	1
蓬	737
棣	200
酆	2
蓿	4
蓼	1
有	149704
月	50068
朋	2473
朊	3
服	17306
最	26345
望	13069
朝	4195
期	25486
朐	18
朕	1
朔	138
﻿	366
木	4002
末	1608
未	8097
札	140
本	59766
术	28870
朦	85
机	38365
朽	534
亟	259
朱	4465
朵	400
朴	1275
棕	64
棘	164
棚	675
砼	17
砾	32
砸	237
砺	65
砻	7
破	7382
砷	14
砰	12
砬	2
砭	22
砥	40
砦	4
砧	7
砣	17
砝	11
砟	4
砚	111
研	18157
砖	489
棂	9
砒	6
砌	141
砍	304
砉	2
砀	19
码	1133
砂	168
髻	8
髹	1
髦	113
髯	8
髭	1
髓	225
棋	2525
高	52295
髂	1
髁	1
髅	4
髋	7
巍	327
巅	69
州	10477
川	3476
	1
巫	119
巩	1255
巨	4984
巯	1
差	4654
巢	160
巡	1119
巧	945
左	3222
工	88200
巾	278
巳	3
已	27851
己	13550
巷	368
巴	13645
燕	883
燚	1
燃	1209
燎	80
燊	15
燹	3
燥	126
燧	8
燮	52
訾	7
言	8481
訇	9
訊	1
蕃	15
蕈	1
蕉	112
蕊	23
蕖	3
蕞	1
蕙	21
蕤	8
蕨	9
蕴	512
蕲	17
蕾	371
蕹	1
蕺	1
蕻	11
颉	5
嚓	25
嚎	11
嚏	8
嚅	9
嚼	82
嚷	68
嚯	2
嚣	147
桶	412
桫	1
桨	67
桩	258
领	31433
桢	45
档	2037
桠	19
桡	2
桦	94
桧	16
桥	4095
桝	1
桓	152
桐	234
桑	1834
桔	217
桕	9
案	12760
桉	2
桎	8
桌	759
桂	1437
桃	584
桀	14
桁	17
框	545
桄	2
桅	15
颞	1
慹	1
碇	8
驷	88
驶	960
驱	863
驰	462
驳	298
碁	5
碎	527
驼	123
驿	63
驾	832
驹	166
驸	3
驻	5975
碉	28
碗	447
碓	3
碑	1271
驭	123
碟	155
驯	55
驮	59
碚	6
碛	6
碘	379
碧	454
碣	17
碡	1
颠	218
碴	19
碳	240
碰	589
碱	269
碾	74
慌	180
颦	5
邃	97
o	1
悖	110
悔	337
悚	10
悟	607
悝	1
悄	671
悉	1935
悍	61
悌	9
悲	984
悱	6
悴	23
悻	28
悸	24
悼	289
患	2274
悠	776
悦	582
悫	2
您	1376
悯	19
悭	2
悬	732
锏	11
锌	79
锋	1558
锈	127
锉	2
锆	2
锇	2
锄	81
锅	505
锂	22
锃	17
销	8802
锁	1142
锟	6
锚	71
锛	3
错	2397
锗	16
锒	9
锐	672
锑	13
键	2934
锯	83
锭	90
誓	400
锦	2795
锤	203
锥	41
锢	24
锣	242
锡	1437
锺	2
锻	741
锸	1
锹	111
锶	2
锷	16
锴	8
锵	66
锲	107
锰	40
锱	6
抓	9977
跆	16
跄	4
嵌	119
嵋	3
嵊	36
嵇	13
闪	846
	2
	1
嵘	90
嵛	1
嵒	1
嵬	10
嵯	5
嵩	46
嵫	2
溇	1
	1
	1
	1
	1
距	2373
鄠	1
	1
闳	3
	2
跛	16
灞	1
灏	29
灌	1158
O	1
灿	578
灾	5800
灼	118
灸	83
灶	187
灵	2811
灰	686
灯	1744
灭	1275
火	7581
闸	232
嘤	7
嘣	3
嘬	1
嘭	4
嘶	48
嘴	582
嘲	79
嘱	289
嘿	41
嘻	38
嘹	40
嘀	31
嘎	134
嘏	1
嘈	33
嘉	1183
嘞	4
嘟	49
嘚	2
嘛	160
嘘	57
槽	110
槿	1
槱	1
槲	1
槮	2
槠	13
槟	47
嫩	993
槛	64
鄂	438
槐	110
槌	37
槎	4
槊	1
槁	5
槃	9
\	2
藏	4694
藍	2
藉	57
藁	9
藜	105
藕	69
藓	3
藐	8
藩	58
藤	330
藣	1
藠	3
藿	2
藻	90
怕	1823
怔	12
怖	865
怒	396
思	17222
怜	118
怙	2
怅	37
怄	3
怆	17
态	6552
怀	3671
怂	24
怍	3
怏	16
怎	2970
怵	8
怼	1
怿	1
总	40314
急	3812
性	23754
2	388
怡	188
怠	80
怯	50
怩	1
怨	534
怫	2
怪	790
	1
笈	10
笋	113
笏	2
笃	60
笄	1
笆	30
笙	91
笛	137
笞	22
笑	2649
鯤	1
笔	3726
笕	4
笨	69
笪	5
笫	2
第	71893
笮	1
笠	51
笤	4
符	2600
笸	2
笹	7
笺	15
笼	338
笱	2
笳	26
峒	8
峙	126
峄	45
峁	24
峋	20
峰	2206
峿	1
峻	788
峦	95
峥	36
峤	2
峡	1687
峭	118
峪	139
峨	141
烤	174
烧	1252
烦	565
烩	13
烨	146
烫	98
热	10127
烬	27
烯	286
烷	48
烹	61
烽	160
烁	180
烃	20
烂	751
烈	6464
烋	1
烊	7
	1
烙	60
烘	104
烛	130
烝	2
烟	3027
靓	15
朗	2000
s	5
銶	1
謇	5
銮	13
	2
楂	43
楔	12
楞	33
楝	10
楚	1331
楣	19
楠	141
楫	24
楷	233
楼	3833
楸	1
楹	39
艘	389
艟	2
艄	5
艇	567
艰	4398
色	13662
艳	681
艺	13108
艽	2
艾	1457
艨	2
艮	7
良	8185
喦	1
喧	181
喹	3
喻	351
喽	11
喳	23
喷	512
喉	196
喊	658
喋	20
喏	3
喀	910
喁	2
喂	213
喃	53
善	7935
喆	12
喇	162
喘	180
喙	7
喜	4518
喝	1139
喟	14
喑	8
喔	1
宁	5807
它	11405
宄	1
宅	891
	1
宇	1289
守	3721
安	28720
宋	2021
完	12381
宏	3830
宓	4
宕	54
宗	3366
官	6973
宙	288
定	45602
宛	224
宜	2245
宝	4557
实	59942
宠	121
审	6028
